품목일련번호,combined,
197900277,15세미만의소아는이약을복용하지마십시오.,
199400883,3개월미만의영아는이약을복용하지마십시오이약을복용하기전에1세미만의영아는의사또는약사와상의하십시오.,
197400207,,
200300406,만7세이하의소아는이약을복용하지마십시오,
200108347,,
197400246,,
200608160,생후6개월이상의소아는1회0.4~0.6mL/kg(5~7mg/kg)|4~6시간간격으로필요시에복용하며|1일최대4회(28mg/kg)를넘지않습니다. 체중이30kg이하인소아에게는1일최대25mL(300mg)을초과하지않습니다,
198701129,급성질환에6~14세는1회1포(200mg)씩|1일2회|2~5세는1회1/2포(100mg)씩|1일3회소량의물과함께복용합니다. 만성질환에6~14세는1회1/2포(100mg)씩|1일3회소량의물과함께복용합니다. 낭성섬유증에6세이상은1회1포(200mg)씩|1일3회|2~5세는1회1/2포(100mg)씩|1일4회소량의물과함께복용합니다.  2세미만영아는이약을복용하지마십시오,
198801525,급성질환에6~14세는1회1캡슐(200mg)씩|1일2회식전에소량의물과함께복용합니다. 만성질환에6~14세는1회1/2캡슐(100mg)씩|1일3회식전에소량의물과함께복용합니다. 낭성섬유증에6세이상은1회1캡슐(200mg)씩|1일3회식전에소량의물과함께복용합니다.  2세미만영아는이약을복용하지마십시오.,
198700405,만7세이하의어린이는이약을복용하지마십시오,
198700683,,
199102142,3~6세는1회2개|1~2세는1회1~2개|3~12개월은1회1개씩|1일2~3회좌약의둥근부분부터직장내깊이삽입합니다,
201206997,만12세이상은1회1정씩|1일2회(아침|저녁)복용합니다. 만12개월미만의젖먹이는이약을복용하지마십시오.이약을복용하기전에미숙아유아는의사또는약사와상의하십시오.,
200501321,어린이에게투여할경우보호자의지도감독하에투여하십시오,
197000037,만3개월미만의젖먹이는이약을복용하지마십시오.이약을복용하기전에미숙아유아는의사또는약사와상의하십시오.,
198700430,12세이상의소아는1회2정(1g)을1일3회식후30분~1시간에씹어서복용합니다,
200307641,,
