품목일련번호,주성분
197900277,아세트아미노펜|카페인무수물|이소프로필안티피린
199400883,인산알루미늄겔|수산화마그네슘|시메티콘
197400207,인산알루미늄겔|콜로이드성인산알루미늄
200300406,디아스타제·프로테아제·셀룰라제|판셀라제|크리아제-PEG|디아스타제·프로테아제100|판프로신|리파제|브로멜라인|우르소데옥시콜산|시메티콘파우더
200108347,카르복시메틸셀룰로오스나트륨
197400246,수산화마그네슘
200608160,덱시부프로펜
198701129,아세틸시스테인
198801525,아세틸시스테인
198700405,디아스타제·프로테아제·셀룰라제|리파제|판프로신|판셀라제|판크레아틴장용과립|우르소데옥시콜산|시메티콘
198700683,아세틸시스테인
199102142,아세트아미노펜|DL-메티오닌
201206997,티아민질산염|리보플라빈|피리독신염산염|시아노코발라민100배산|아스코르브산과립97%|판토텐산칼슘|니코틴산아미드|토코페롤아세테이트2배산|셀레늄함유건조효모
200501321,L-멘톨|박하유|살리실산메틸|dl-캄파|니코틴산벤질(피리딘-베타-카르복실산벤질에스테르)|노닐산바닐릴아미드|산화아연
197000037,푸르설티아민|리보플라빈부티레이트|피리독살포스페이트수화물|히드록소코발라민아세트산염|아스코르브산|토코페롤아세테이트2배산
198700430,알마게이트
200307641,브리모니딘타르타르산염
198601920,이부프로펜
202200525,아세트아미노펜(미분화)
199500435,에르도스테인
199806459,자일로메타졸린염산염
201102450,벤포티아민|리보플라빈|니코틴산아미드|판토텐산칼슘|피리독신염산염|시아노코발라민1000배산|콜린타르타르산염|이노시톨|비오틴|폴산|산화아연|아스코르브산과립97%|토코페롤아세테이트50%|셀레늄함유건조효모|우르소데옥시콜산
198400250,살리실산메틸|L-멘톨|dl-캄파|박하유|티몰
200610765,세티리진염산염
199400367,케토프로펜
199300356,케토프로펜
199600561,케토프로펜
199800766,페닐레프린염산염|클로르페니라민말레산염
199907094,도르졸라미드염산염|티몰롤말레산염
201201484,히알루론산나트륨|덱스판테놀
201505113,자일로메타졸린염산염|클로르페니라민말레산염
200109567,레보플록사신수화물
200200323,빌베리건조엑스
202106092,아세트아미노펜
199401576,피록시캄
198300605,시메티콘|판크레아틴|시메티콘산
198900672,아세트아미노펜|dl-메틸에페드린염산염|클로르페니라민말레산염|카페인무수물|구아이페네신
196800036,아세트아미노펜|구아이페네신|펜톡시베린시트르산염|페닐레프린염산염|클로르페니라민말레산염|카페인무수물
200700547,티페피딘시트르산염|구아이페네신|dl-메틸에페드린염산염|클로르페니라민말레산염|카페인무수물|아세트아미노펜
199400202,아세트아미노펜|클로르페니라민말레산염|카페인무수물
196000011,클로르페니라민말레산염
200600050,염화나트륨|염화칼륨|포도당
200201397,레보클로페라스틴펜디조산염
199900926,판크레아틴|디아스타제·프로테아제·셀룰라제|프로자임6|리파제|셀룰라제|우르소데옥시콜산|시메티콘
199801026,판크레아틴|셀룰라제|우르소데옥시콜산|시메티콘
